,0,1,2,3,4,5,6,7,8,9
0,fri_pickl ,go_back ,tater_tot ,sweet_potato ,mahi_mahi ,burger_compani ,last_night ,chicken_sandwich ,can_get ,hot_dog
1,oliv_garden ,fri_chicken ,beer_select ,laid_back ,cask_ale ,24_hour ,first_time ,loco_lime ,peanut_butter ,hous_made
2,go_back ,tasti_yo ,don_know ,great_place ,eat_ameli ,without_mind ,ameli_without ,coffe_shop ,first_time ,time_went
3,crepe_cellar ,smelli_cat ,great_food ,frozen_yogurt ,everi_time ,close_monday ,across_street ,best_way ,will_definit ,good_servic
4,go_back ,fish_taco ,crepe_cellar ,place_go ,wait_staff ,breakfast_sandwich ,realli_great ,galleri_crawl ,tater_tot ,dessert_crepe
5,fri_chicken ,crepe_cellar ,open_kitchen ,price_chicken ,great_place ,go_back ,chicken_coop ,good_beer ,soda_shop ,next_time
6,smelli_cat ,fish_taco ,fri_chicken ,beer_select ,crepe_cellar ,go_back ,sweet_potato ,next_time ,realli_good ,don_like
7,realli_good ,fri_chicken ,smelli_cat ,ve_ever ,pretti_good ,good_place ,first_time ,loco_lime ,peanut_butter ,5_star
8,fri_chicken ,tasti_yo ,great_place ,go_back ,first_time ,beer_select ,mexican_restaur ,yo_tasti ,look_like ,crepe_cellar
9,fish_taco ,go_back ,crepe_cellar ,littl_bit ,great_food ,don_know ,french_onion ,queen_citi ,pretti_good ,mix_green
